_Id,_TagName,_Count,_ExcerptPostId,_WikiPostId
1,sicilian-defense,147,168,167
2,opening,1330,120,119
3,handicapping,12,276,275
5,blitz,54,341,340
7,rules,483,278,277
8,kings,60,122,121
9,draw,162,125,124
10,queens,69,142,141
11,strategy,452,317,316
14,point-value,40,559,558
15,pieces,51,173,172
16,kingside,4,158,157
18,software,388,636,635
19,programming,205,905,904
20,open-source,10,2128,2127
21,pgn,103,563,562
22,fen,40,862,861
24,online-chess,205,154,153
26,knights,91,146,145
27,bishops,69,144,143
28,checkmate,269,118,117
30,grandmaster,103,791,790
33,kings-gambit,31,171,170
36,chess960,35,724,723
37,training,129,850,849
39,castling,103,129,128
40,rooks,55,113,112
43,queens-gambit,53,92,91
45,sacrifice,59,197,196
46,analysis,740,605,604
47,history,224,280,279
50,notation,78,567,566
51,ruy-lopez,59,160,159
52,tactics,261,648,647
54,endgame,441,629,628
55,theory,331,642,641
56,captures,47,116,115
57,check,73,127,126
58,50-move-rule,35,195,194
59,pawns,125,148,147
61,pawn-promotion,78,767,766
62,statistics,113,625,624
63,fiction,10,15461,15460
64,retrograde-analysis,54,1154,1153
65,studies,9,1344,1343
66,illegal-move,50,1944,1943
68,fide,215,199,198
70,rating,225,528,527
76,famous-players,68,2118,2117
77,engines,766,557,556
78,uscf,41,225,224
79,chess-clocks,41,638,637
80,tournament-directors,12,852,851
81,bullet-chess,16,1158,1157
82,scotch-game,19,783,782
84,fianchetto,20,236,235
85,minor-pieces,13,243,242
89,chess-algorithms,31,5692,5691
91,chess-variants,218,268,267
95,colle-zukertort,3,787,786
100,psychology,121,2120,2119
106,two-knights,18,326,325
109,memorization,12,2158,2157
113,stonewall-attack,5,2154,2153
114,evaluation,101,2455,2454
116,learning,459,765,764
119,world-championship,92,400,399
123,passed-pawn,7,402,401
124,books,157,781,780
126,glicko,7,530,529
127,fischer,47,525,524
128,transpositions,21,837,836
130,tournament,238,1542,1541
131,blindfold-chess,32,706,705
133,scholastic-chess,2,2156,2155
135,pawn-structure,96,1188,1187
136,combinations,12,539,538
137,clubs,19,2124,2123
139,grunfeld-defense,21,565,564
140,kasparov,33,561,560
141,karpov,8,640,639
142,gambits,81,578,577
143,etiquette,64,913,912
144,patterns,17,1273,1272
145,bad-bishop,15,627,626
146,otb-chess,27,603,602
148,master-games,64,623,622
149,middlegame,107,633,632
150,positional-play,168,657,656
151,colle-system,9,785,784
152,gelfand,6,683,682
154,terminology,103,1194,1193
155,italian-game,25,833,832
160,stockfish,228,839,838
165,attack,54,2460,2459
166,defense,47,1008,1007
167,tablebases,67,901,900
168,en-passant,41,869,868
169,closed-position,21,867,866
175,zugzwang,18,855,854
177,french-defense,63,893,892
178,1.d4,58,908,907
179,tal,10,918,917
183,aggressive-play,23,1332,1331
184,carlsen,49,934,933
186,anand,27,967,966
193,caro-kann,68,1019,1018
199,evans-gambit,9,1148,1147
202,preparation,39,2464,2463
203,capablanca-chess,3,1091,1090
204,equipment,8,1089,1088
205,spassky,10,2126,2125
206,capablanca,17,1199,1198
208,puzzles,91,2458,2457
209,najdorf,28,1741,1740
211,study,61,2152,2151
212,board-vision,16,5006,5005
213,nimzo-indian,15,1291,1290
214,elo,116,1334,1333
220,chessboards,39,7641,7640
223,websites,46,2122,2121
226,pawn-endgame,36,2160,2159
230,four-knights,8,2808,2807
232,dutch-defense,17,2162,2161
235,kings-indian,51,1663,1662
237,botvinnik,6,2166,2165
239,cql,4,2164,2163
242,database,118,2130,2129
243,scid,51,2462,2461
246,1.e4,66,2136,2135
248,fried-liver-attack,10,4526,4525
249,smith-morra-gambit,9,2790,2789
264,online,57,2466,2465
267,exchange,18,2005,2004
268,quality,2,2007,2006
269,traxler-counter-attack,7,2798,2797
272,kramnik,8,2138,2137
275,cochrane-gambit,1,2800,2799
278,bughouse,22,3998,3997
286,houdini,13,3996,3995
291,queens-gambit-accepted,22,4019,4018
294,birds-opening,12,2745,2744
296,problems,277,2768,2767
297,composing,9,4388,4387
299,mac,5,18534,18533
301,alekhine,7,4045,4044
302,novelties,9,4381,4380
304,alekhines-defense,11,3974,3973
305,english-opening,30,4021,4020
306,philidor-defense,12,4043,4042
